vill_no,emd,sc,ho
1,0.2560923039041212,0.625,0.6875
2,0.16238073117116905,0.375,0.5625
3,0.18035891877649057,0.5,0.375
4,0.15108063604270183,0.5625,0.75
5,0.2213815762255914,0.5,0.75
6,0.19587001962494166,0.5,0.5625
7,0.31096037416581973,0.5625,0.6875
8,0.233712477877721,0.25,0.3125
9,0.30350093005929923,0.5625,0.625
10,0.3296169743960343,0.125,0.4375
11,0.3071430475707881,0.125,0.25
12,0.2945411424452527,0.6875,0.6875
14,0.27895508439720096,0.1875,0.25
15,0.30071818505658726,0.6875,0.5625
16,0.28939951968350097,0.5,0.625
17,0.27597453845150927,0.5625,0.5625
18,0.2509730771137439,0.625,0.6875
19,0.24126817495325542,0.3125,0.25
20,0.14570045061741002,0.375,0.5
21,0.23559064701790114,0.4375,0.625
23,0.16919002138501665,0.5,0.6875
24,0.25826202175875357,0.625,0.625
25,0.24905782449923586,0.5625,0.625
26,0.23952665486191757,0.375,0.6875
27,0.22084405992217562,0.75,0.75
28,0.26021136167013365,0.875,0.625
29,0.2619435905756953,0.4375,0.4375
30,0.3554569817133217,0,0.125
31,0.2893012122591154,0.1875,0.3125
32,0.2943384795190547,0.1875,0.25
33,0.2848093817247736,0.6875,0.6875
34,0.2551478432247929,0.125,0.3125
35,0.3034096124954112,0.125,0.3125
36,0.30898661430497953,0.625,0.6875
37,0.32737579181598414,0.0625,0.25
38,0.22894942539982485,0.625,0.8125
39,0.2949544645589229,0.6875,0.6875
40,0.2659910287998743,0.5625,0.5625
41,0.27819742692085186,0.25,0.3125
42,0.30936577635340073,0.5625,0.6875
43,0.31015815858931506,0.8125,0.5625
44,0.2650255494771958,0.3125,0.3125
45,0.2258007245134961,0.3125,0.4375
46,0.283362936768312,0.6875,0.6875
47,0.3195932828246704,0.6875,0.75
48,0.3173537896300476,0.625,0.75
49,0.28335116553223955,0.5625,0.625
50,0.2931177048467344,0.125,0.25
51,0.3466010830684891,0.0625,0.1875
52,0.37842650395918204,0.625,0.75
53,0.29553600481877473,0.125,0.5
54,0.3385453433029035,0.125,0.4375
55,0.25003248505938974,0.25,0.1875
56,0.29041241327668627,0.6875,0.5625
57,0.2644205762143592,0.5625,0.625
58,0.2663275031962624,0.3125,0.375
59,0.2786757655515516,0.625,0.6875
60,0.22841501989434013,0.75,0.6875
61,0.3380339727776121,0.625,0.6875
62,0.2948712309431345,0.125,0.1875
63,0.2622459609244456,0.5625,0.6875
64,0.2636163778592928,0.6875,0.8125
65,0.3271459552559613,0.6875,0.625
66,0.25638954524053853,0.5,0.625
67,0.3889594747873086,0.0625,0.1875
68,0.31369631639769413,0.625,0.6875
69,0.3527831113973246,0.625,0.75
70,0.35160811972266076,0.8125,0.6875
71,0.3348526266287539,0.875,0.5625
72,0.26802947623047013,0.6875,0.625
73,0.37638698515263685,0.6875,0.8125
74,0.27898069164691897,0.6875,0.6875
75,0.3752441599218078,0.6875,0.75
76,0.2734480266247257,0.75,0.625
77,0.28161296911783273,0.6875,0.8125
